time,open,high,low,close,volume
2026-03-06 00:10:00,25123.5000,25130.0000,25121.5000,25127.7500,1732
2026-03-06 00:15:00,25127.5000,25128.0000,25122.0000,25127.0000,949
2026-03-06 00:20:00,25126.0000,25127.7500,25111.2500,25116.0000,1916
2026-03-06 00:25:00,25116.5000,25123.5000,25111.5000,25121.0000,1527
2026-03-06 00:30:00,25120.5000,25128.2500,25118.7500,25125.7500,1602
2026-03-06 00:35:00,25125.7500,25141.5000,25124.7500,25131.5000,2513
2026-03-06 00:40:00,25132.0000,25135.0000,25123.5000,25129.5000,1466
2026-03-06 00:45:00,25129.2500,25130.0000,25108.2500,25112.0000,2727
2026-03-06 00:50:00,25111.2500,25121.5000,25106.7500,25121.2500,1718
2026-03-06 00:55:00,25121.5000,25124.5000,25113.5000,25117.7500,1632
2026-03-06 01:00:00,25118.2500,25133.2500,25117.5000,25130.2500,2026
2026-03-06 01:05:00,25130.5000,25137.2500,25124.7500,25129.0000,1641
2026-03-06 01:10:00,25128.7500,25133.5000,25120.7500,25123.0000,1647
2026-03-06 01:15:00,25123.5000,25124.2500,25114.0000,25120.0000,1205
2026-03-06 01:20:00,25119.0000,25125.5000,25108.0000,25124.2500,1942
2026-03-06 01:25:00,25123.7500,25123.7500,25108.5000,25112.2500,1903
2026-03-06 01:30:00,25112.0000,25116.0000,25103.2500,25107.5000,1949
2026-03-06 01:35:00,25107.0000,25113.7500,25104.5000,25109.2500,1334
2026-03-06 01:40:00,25109.0000,25122.2500,25107.2500,25119.0000,1586
2026-03-06 01:45:00,25119.0000,25119.7500,25105.5000,25106.7500,1682
2026-03-06 01:50:00,25107.2500,25112.7500,25103.0000,25108.5000,1297
2026-03-06 01:55:00,25109.2500,25110.5000,25100.5000,25106.7500,1324
2026-03-06 02:00:00,25106.5000,25120.5000,25105.0000,25112.0000,3201
2026-03-06 02:05:00,25112.2500,25115.5000,25098.5000,25102.2500,2269
2026-03-06 02:10:00,25102.0000,25102.2500,25091.2500,25098.0000,2235
