Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.SRS,Breakout|Range|HighVolatility,77.43751774,43,48.8372093,2.65790977,16.87790698,725.75,117.82,666.84,2.42520678,15.50790698,1451.5,1333.68,263.75,2.52830332,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,1.5,3,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,74.61002535,43,48.8372093,2.62649914,16.55813953,712,117.82,653.09,2.39581953,15.18813953,1424,1306.18,263.75,2.47617062,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,1.5,2.5,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,59.77481444,43,58.13953488,2.46547472,13.81976744,594.25,117.82,535.34,2.24451367,12.44976744,1188.5,1070.68,177.5,3.016,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,1.5,1.5,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,58.15950165,43,48.8372093,2.42204455,14.47674419,622.5,117.82,563.59,2.20453525,13.10674419,1245,1127.18,250.75,2.24761715,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,1.5,2,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,55.40218365,43,48.8372093,2.26032054,15.0872093,648.75,117.82,589.84,2.08249371,13.7172093,1297.5,1179.68,327.5,1.80103817,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,2,3,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,53.26482132,43,48.8372093,2.23360855,14.76744186,635,117.82,576.09,2.05725926,13.39744186,1270,1152.18,327.5,1.75905344,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.3,2,2.5,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,48.80959275,43,60.46511628,2.21287408,12.48837209,537,117.82,478.09,2.02559207,11.11837209,1074,956.18,150,3.18726667,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.1,1.5,1.5,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,47.89508491,43,51.1627907,2.18580376,13.20930233,568,117.82,509.09,2.00236272,11.83930233,1136,1018.18,222,2.2931982,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.2,1.5,3,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,47.2333342,43,60.46511628,2.15141787,12.51162791,538,117.82,479.09,1.97198215,11.14162791,1076,958.18,155.5,3.08096463,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0,1.5,2,False,1,False,0,10,False
TradingBrain.SRS,Breakout|Range|HighVolatility,46.64499862,43,51.1627907,2.16701461,13,559,117.82,500.09,1.98464234,11.63,1118,1000.18,217.75,2.29662457,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,3,0.2,1.5,2,False,1,False,0,10,False
