Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,791.91122167,50,58,3.18334584,72.76,3638,137,3569.5,3.10587486,71.39,7276,7139,327,10.91590214,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,1,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,781.77527206,50,60,3.19324831,73.09,3654.5,137,3586,3.11732058,71.72,7309,7172,342.25,10.47772096,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,728.61491526,52,53.84615385,3.22166008,67.55769231,3513,142.48,3441.76,3.1322694,66.18769231,7026,6883.52,331.5,10.38238311,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,1,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,698.88558068,52,55.76923077,3.20110672,66.93269231,3480.5,142.48,3409.26,3.11392892,65.56269231,6961,6818.52,346,9.8533526,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,635.79664835,51,49.01960784,3.11288589,67.43627451,3439.25,139.74,3369.38,3.02563471,66.06627451,6878.5,6738.76,394.75,8.53547815,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,635.15905454,49,53.06122449,2.96876368,68.81632653,3372,134.26,3304.87,2.8947118,67.44632653,6744,6609.74,361.25,9.14842907,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,618.9710837,51,54.90196078,2.96954241,66.25,3378.75,139.74,3308.88,2.89402465,64.88,6757.5,6617.76,359.25,9.21052192,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,1,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,617.47083857,51,56.8627451,2.95059749,65.6127451,3346.25,139.74,3276.38,2.87689329,64.2427451,6692.5,6552.76,346,9.46930636,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,601.92065297,51,49.01960784,3.06020581,65.75490196,3353.5,139.74,3283.63,2.97408274,64.38490196,6707,6567.26,394.75,8.31825206,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,1.25,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,591.35010321,49,53.06122449,2.918698,67.06632653,3286.25,134.26,3219.12,2.84555055,65.69632653,6572.5,6438.24,373.5,8.61879518,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,1.25,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,538.91529595,50,50,2.87570942,66.1,3305,137,3236.5,2.80180932,64.73,6610,6473,437.25,7.40194397,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,537.9579571,50,50,3.26699029,67.715,3385.75,137,3317.25,3.17133039,66.345,6771.5,6634.5,667,4.97338831,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,1.25,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,533.60065111,51,50.98039216,2.91090654,60.03431373,3061.75,139.74,2991.88,2.82821876,58.66431373,6123.5,5983.76,342.25,8.74179693,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0.75,1,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,531.71879755,49,55.10204082,2.81078678,62.35204082,3055.25,134.26,2988.12,2.7399193,60.98204082,6110.5,5976.24,342.25,8.73081081,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,1,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,514.93414137,48,54.16666667,3.10231232,69.13541667,3318.5,131.52,3252.74,3.02204347,67.76541667,6637,6505.48,667,4.87667166,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1.25,1.25,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Trend,Trend|Breakout|WideIbBreakout|IntradayExpansion,511.51967037,52,50,3.09642147,60.83653846,3163.5,142.48,3092.26,3.00195517,59.46653846,6327,6184.52,467.25,6.61799893,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,2.5,60,0.75,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
