Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,181.19603349,29,58.62068966,3.23587834,31.05172414,900.5,79.46,860.77,3.05341253,29.68172414,1801,1721.54,243.5,3.53498973,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,40,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,133.07832139,22,77.27272727,3.17827298,26.65909091,586.5,60.28,556.36,3.015067,25.28909091,1173,1112.72,197.5,2.81701266,1.1,1.2,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,124.77713004,36,63.88888889,2.46047359,27.84027778,1002.25,98.64,952.93,2.3534784,26.47027778,2004.5,1905.86,343.75,2.77216,1.2,1.5,False,0.95,1.5,Atr,0.002,64,34,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,122.84622548,21,76.19047619,3.07985144,26.66666667,560,57.54,531.23,2.92404926,25.29666667,1120,1062.46,224,2.3715625,1.1,1.6,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,122.84622548,21,76.19047619,3.07985144,26.66666667,560,57.54,531.23,2.92404926,25.29666667,1120,1062.46,224,2.3715625,1.1,1.4,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,122.84622548,21,76.19047619,3.07985144,26.66666667,560,57.54,531.23,2.92404926,25.29666667,1120,1062.46,224,2.3715625,1.1,2,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,122.84622548,21,76.19047619,3.07985144,26.66666667,560,57.54,531.23,2.92404926,25.29666667,1120,1062.46,224,2.3715625,1.1,1.8,True,1.05,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,116.45627484,35,60,2.52034261,25.35714286,887.5,95.9,839.55,2.3924502,23.98714286,1775,1679.1,276.25,3.03909502,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,38,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,103.02624831,63,58.73015873,2.12421352,21.98015873,1384.75,172.62,1298.44,2.02451533,20.61015873,2769.5,2596.88,353.75,3.67050177,1.2,1.5,False,0.95,1.5,CandleRange,0.001,60,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Volatility,Breakout|WideIbBreakout|IntradayExpansion,101.52034631,45,60,2.36251664,22.73888889,1023.25,123.3,961.6,2.23793095,21.36888889,2046.5,1923.2,347.5,2.76719424,1.2,1.5,False,0.95,1.5,AtrAndCandleRange,0.001,60,32,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
