Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.BollingerFade,Range,42.23035988,22,68.18181818,2.21150097,14.125,310.75,60.28,280.61,2.054568,12.755,621.5,561.22,153,1.83405229,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,30,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,42.23035988,22,68.18181818,2.21150097,14.125,310.75,60.28,280.61,2.054568,12.755,621.5,561.22,153,1.83405229,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,30,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,42.23035988,22,68.18181818,2.21150097,14.125,310.75,60.28,280.61,2.054568,12.755,621.5,561.22,153,1.83405229,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,30,60,0.8,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,32.79453415,22,59.09090909,1.8641791,13.15909091,289.5,60.28,259.36,1.74672502,11.78909091,579,518.72,153,1.6951634,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,30,60,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,32.79453415,22,59.09090909,1.8641791,13.15909091,289.5,60.28,259.36,1.74672502,11.78909091,579,518.72,153,1.6951634,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,30,60,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,32.79453415,22,59.09090909,1.8641791,13.15909091,289.5,60.28,259.36,1.74672502,11.78909091,579,518.72,153,1.6951634,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,30,60,1.2,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,23.74473528,22,63.63636364,1.72301887,10.88636364,239.5,60.28,209.36,1.61178808,9.51636364,479,418.72,153,1.36836601,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,30,60,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,23.74473528,22,63.63636364,1.72301887,10.88636364,239.5,60.28,209.36,1.61178808,9.51636364,479,418.72,153,1.36836601,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,30,60,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,23.74473528,22,63.63636364,1.72301887,10.88636364,239.5,60.28,209.36,1.61178808,9.51636364,479,418.72,153,1.36836601,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,1.5,30,60,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,13.57849401,22,59.09090909,1.60471442,7.57954545,166.75,60.28,136.61,1.47420855,6.20954545,333.5,273.22,153,0.89287582,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,30,60,0.6,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.BollingerFade,Range,13.57849401,22,59.09090909,1.60471442,7.57954545,166.75,60.28,136.61,1.47420855,6.20954545,333.5,273.22,153,0.89287582,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,0,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2.5,30,60,0.6,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
