Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.ORB,Breakout|IntradayExpansion,461.37947362,29,62.06896552,3.03641062,74.73275862,2167.25,79.46,2127.52,2.97049153,73.36275862,4334.5,4255.04,491,4.33303462,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.05,True,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,461.37947362,29,62.06896552,3.03641062,74.73275862,2167.25,79.46,2127.52,2.97049153,73.36275862,4334.5,4255.04,491,4.33303462,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.05,True,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,443.58768618,29,62.06896552,2.98453013,74.09482759,2148.75,79.46,2109.02,2.92045092,72.72482759,4297.5,4218.04,509.5,4.13939156,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.05,True,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,219.01793183,35,57.14285714,2.18818885,51.59285714,1805.75,95.9,1757.8,2.14120626,50.22285714,3611.5,3515.6,569.5,3.08656716,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0.15,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,219.01793183,35,57.14285714,2.18818885,51.59285714,1805.75,95.9,1757.8,2.14120626,50.22285714,3611.5,3515.6,569.5,3.08656716,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0.15,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,213.24893183,35,57.14285714,2.16011692,51.02857143,1786,95.9,1738.05,2.11409891,49.65857143,3572,3476.1,569.5,3.05188762,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0.15,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,207.90811125,36,61.11111111,2.11350597,49.86805556,1795.25,98.64,1745.93,2.06994117,48.49805556,3590.5,3491.86,544.5,3.20648301,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1,93000,100000,2,0.3,0,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,207.90811125,36,61.11111111,2.11350597,49.86805556,1795.25,98.64,1745.93,2.06994117,48.49805556,3590.5,3491.86,544.5,3.20648301,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.3,0,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,202.54030099,36,61.11111111,2.08792892,49.31944444,1775.5,98.64,1726.18,2.04518785,47.94944444,3551,3452.36,544.5,3.1702112,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,2,93000,100000,2,0.3,0,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.ORB,Breakout|IntradayExpansion,190.72375317,36,61.11111111,2.03394646,48.01388889,1728.5,98.64,1679.18,1.99283391,46.64388889,3457,3358.36,544.5,3.08389348,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.5,3,0,3,60,1,0.75,2,1.5,93000,100000,2,0.5,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
