Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.Momentum,Trend,10.13224395,113,30.97345133,1.24121261,5.29867257,598.75,309.62,443.94,1.17146433,3.92867257,1197.5,887.88,631.25,0.70327129,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.35,1.1,1.25,3,0,3,60,0.5,1.25,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,10.08744888,147,27.89115646,1.2682949,5.0255102,738.75,402.78,537.36,1.18537837,3.6555102,1477.5,1074.72,739.5,0.72665314,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.1,1.1,1,3,0,3,60,0.5,1.75,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,9.58590812,117,31.62393162,1.24682358,5.06410256,592.5,320.58,432.21,1.17218836,3.69410256,1185,864.42,631.25,0.68468911,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.35,1.1,1.25,3,0,3,60,0.5,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,9.03691373,151,28.47682119,1.25101932,4.68874172,708,413.74,501.13,1.16881818,3.31874172,1416,1002.26,739.5,0.67766058,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.1,1.1,1,3,0,3,60,0.5,1.25,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.9458141,150,28,1.24827158,4.66833333,700.25,411,494.75,1.16666891,3.29833333,1400.5,989.5,739.5,0.66903313,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.1,1.1,1,3,0,3,60,0.5,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.93008793,124,27.41935484,1.22962255,4.84475806,600.75,339.76,430.87,1.15727766,3.47475806,1201.5,861.74,729.75,0.59043508,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.35,1.1,1,3,0,3,60,0.5,1.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.84319273,113,30.08849558,1.22207674,4.87831858,551.25,309.62,396.44,1.15303727,3.50831858,1102.5,792.88,631.25,0.62802376,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.35,1.1,1.25,3,0,3,60,0.5,1.5,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.66097762,133,25.56390977,1.23699477,4.68421053,623,364.42,440.79,1.15945348,3.31421053,1246,881.58,739.5,0.59606491,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.2,1.1,1,3,0,3,60,0.5,1.75,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.53791125,153,26.79738562,1.23963731,4.53431373,693.75,419.22,484.14,1.15881566,3.16431373,1387.5,968.28,751.75,0.64401729,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1,1.1,1,3,0,3,60,0.5,1.75,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.Momentum,Trend,8.463158,140,30.71428571,1.22183918,4.59642857,643.5,383.6,451.7,1.14889703,3.22642857,1287,903.4,725,0.62303448,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.06,1.1,1.1,1.25,3,0,3,60,0.5,1.5,1.5,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
