Strategy,RegimeFilter,Score,Trades,WinRate,ProfitFactor,Expectancy,GrossPnL,TotalCosts,NetPnL,NetProfitFactor,NetExpectancy,GrossCurrency,NetCurrency,MaxDrawdown,ReturnToDrawdown,VolMinAtr,VolMinVolume,UseSqueeze,SqueezeRatio,VolRangeMultiplier,VolExpansionMode,VwapMinDistance,RsiLongMax,RsiShortMin,VolTrailingMode,AtrChandelier,MaxBarsWithoutProfit,MinProfitAtrRatio,RangeCompression,RangeTargetRatio,MomentumMacdAtr,MomentumVolume,EmaVolume,AtrStop,TrailingBars,EmaTrailingOffset,TrendAtrStop,TrendTimeExitBars,BeActivationR,ChandelierActivationR,ChandelierTrailMultiplier,OrbAtrStop,OrbRangeStart,OrbRangeEnd,OrbMinWindowBars,OrbMinRangeAtrRatio,OrbBreakoutBuffer,OrbRequireVolume,OrbVolumeRatio,VwapReversionBand,RsiOversold,RsiOverbought,VwapReversionVolumeRatio,BbStdDev,BbFadeRsiOversold,BbFadeRsiOverbought,BbFadeTargetRatio,SessionBreakoutAtrBuffer,SessionMinRangeAtrRatio,SrsRefCandle,SrsBuffer,SrsStop,SrsTarget,SrsAntiMode,IbTargetMultiplier,IbUseHalfRangeStop,IbMinRangeRatio,IbMaxRangeRatio,IbRequireVolume
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,72.78062623,138,39.13043478,1.83189474,14.31702899,1975.75,378.12,1786.69,1.71734452,12.94702899,3951.5,3573.38,338.75,5.27436162,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,70.11221013,137,43.06569343,1.77187908,15.09671533,2068.25,375.38,1880.56,1.67476623,13.72671533,4136.5,3761.12,442.25,4.25225551,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.8,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,69.16817094,133,43.60902256,1.75643583,14.96804511,1990.75,364.42,1808.54,1.66122876,13.59804511,3981.5,3617.08,411.5,4.39499392,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.8,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,66.30242653,137,43.06569343,1.73751144,14.70985401,2015.25,375.38,1827.56,1.64351157,13.33985401,4030.5,3655.12,442.25,4.13241379,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,2.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,65.20921113,143,38.46153846,1.77478192,13.66433566,1954,391.82,1758.09,1.66514199,12.29433566,3908,3516.18,369.5,4.75802436,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,64.30819713,137,43.06569343,1.71942055,14.5,1986.5,375.38,1798.81,1.62704054,13.13,3973,3597.62,442.25,4.06740531,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.1,1.8,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,63.83747638,138,38.4057971,1.74590164,13.51811594,1865.5,378.12,1676.44,1.64033429,12.14811594,3731,3352.88,338.75,4.94890037,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.2,3,0.15,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,63.7389698,133,43.60902256,1.70891932,14.40225564,1915.5,364.42,1733.29,1.6178472,13.03225564,3831,3466.58,411.5,4.21212637,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.8,3,0,3,60,0.75,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,62.91617246,133,43.60902256,1.70152004,14.31390977,1903.75,364.42,1721.54,1.61109928,12.94390977,3807.5,3443.08,411.5,4.1835723,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,2.2,3,0,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
TradingBrain.EMA,WideIbBreakout|IntradayExpansion|HighVolatility,62.61980213,138,38.4057971,1.73771965,13.38586957,1847.25,378.12,1658.19,1.63263858,12.01586957,3694.5,3316.38,338.75,4.89502583,1.2,1.5,False,0.95,1.5,Atr,0.001,70,30,VwapEmaChandelier,3,5,1,1.05,1,0.1,1.2,1.2,1.2,3,0.3,3,60,0.5,0,2,2,93000,100000,2,0.3,0.05,False,1.1,0.002,35,65,1.1,2,35,65,1,0.1,0.5,2,0.1,1.5,2,False,1,False,0,10,False
